,Name,Calories,Type
239,Cordeiro,178,100g
240,Peito de peru,111,100g
241,Salame,507,100g
242,Presunto,335,100g
243,Bacon,645,100g
244,Filé de carne,115,100g
245,Carne cozida,212,100g
246,Lombinho de porco,171,100g
247,Gordura de carne de porco,311,100g
248,Carne de porco magra,143,100g
249,Espeto de carne de porco,105,100g
250,Truta,50,100g
251,Arenque,146,100g
252,Salmão,137,100g
253,Filé,111,100g
254,Atum,144,100g
255,Leitelho,38,100g
256,Crème fraîche,292,100g
257,Queijo Cheddar,403,100g
258,Queijo Edam,251,100g
259,Ovo,155,100g
260,Requeijão,104,100g
261,Leite de coco,136,100g
262,Leite,47,100g
263,Queijo Quark,67,100g
264,Iogurte natural,62,100g
265,Creme de leite,115,100g
266,Macarrão cozido,142,100g
267,Massa cozida,128,100g
268,Farfalle cozido,147,100g
269,Esparguete integral cozido,152,100g
270,Baguete,248,100g
271,Pretzel,217,100g
272,Açafrão,393,100g
273,Pão Naan,290,100g
274,Pão Pita,290,100g
275,Pão integral,244,100g
276,Tortilha integral,170,100g
277,Rolo de canela,384,100g
278,Cerveja,223,100g
279,Gin tónico,377,100g
280,Vodka,215,100g
281,Vinho,293,100g
282,Batatas fritas,539,100g
283,Biscoitos com chocolate,512,100g
284,Pizza Margarita,199,100g
285,Pizza com salame,245,100g
286,Hamburguer,291,100g
287,Nutella,547,100g
288,Abacaxi,48,100g
289,Amora,43,100g
290,Abacate,160,100g
291,Banana-prata,89,100g
292,Banana-nanica,92,100g
293,Banana-maçã,89,100g
294,Cereja congelada,46,100g
295,Caqui,70,100g
296,Carambola,31,100g
297,Caju,43,100g
298,Ameixa,46,100g
299,Acerola,32,100g
300,Figo,74,100g
301,Framboesa,52,100g
302,Goiaba,68,100g
303,Maçã,52,100g
304,Fruta-pão,103,100g
305,Jaca,94,100g
306,Jabuticaba,58,100g
307,Kiwi,61,100g
308,Laranja-pera,37,100g
309,Laranja-lima,46,100g
310,Lima,30,100g
311,Limão,29,100g
312,Lichia,66,100g
313,Melancia,30,100g
314,Manga,65,100g
315,Mamão papaia,46,100g
316,Mamão formoso,45,100g
317,Maracujá,97,100g
318,Mexerica,52,100g
319,Morango,32,100g
320,Mirtilo,57,100g
321,Coco,354,100g
322,Nectarina,44,100g
323,Nêspera,47,100g
324,Pera,58,100g
325,Pêssego,39,100g
326,Pitaya,51,100g
327,Pitanga,41,100g
328,Pinha,94,100g
329,Pitomba,34,100g
330,Ponkan,39,100g
331,Romã,68,100g
332,Sapoti,83,100g
333,Tomate,18,100g
334,Tamarindo,239,100g
335,Toranja,32,100g
336,Uva Itália,68,100g
337,Uva-passa,299,100g
338,Goji Berry,321,100g
339,Tâmara,282,100g
340,Umbu,37,100g
341,Damasco,48,100g
342,Avelã,628,100g
343,Amêndoa,578,100g
344,Figo seco,249,100g
345,Macadâmia,718,100g
346,Pequi,203,100g
347,Melão Cantalupo (Meloa),34,100g
348,Iogurte de Morango Zero (Activia),69,1 copo (200g)
349,Iogurte Ameixa (Activia),140,1 copo (200g)
350,Iogurte de Morango (Activia),104,1 frasco (150g)
351,Iogurte Aveia (Activia),93,100g
352,Iogurte Ameixa Zero (Activia),41,100g
353,Iogurte Morango (Activia),92,100g
354,Shot Diário Probióticos (Tradicional) (Activia),62,100g
355,Iorgute Ameixa (Activia),64,100g
356,Morango (Activia),73,100g
357,Shot Diário Probióticos (Framboesa e Hibisco) (Activia),62,100g
358,Zero Morango (Activia),45,100g
359,Iogurte Morango Zero Lactose (Activia),55,100g
360,Activia Zero Morango (Activia),40,100g
361,Iogurte de Aveia (Activia),137,1 copo (200g)
362,Mamão e Cereais (Activia),104,1 porção (100g)
363,Ameixa (Activia),93,100g
364,Iogurte de Morango (Activia),138,1 copo (200g)
365,Iogurte Zero Lactose Ameixa (Activia),88,1 copo (200g)
366,Iogurte Morango (Activia),138,1 copo (200g)
367,Iogurte Integral (Activia),94,100g
368,Geléia Orgânica de Banana (Agreco),19,1 colher de sopa (20g)
369,Molho de Tomate Orgânico (Agreco),12,1 colher de sopa (20g)
370,Mel Orgânico (Agreco),90,1 colher de sopa (20ml)
371,Geléia de Uva Orgânica (Agreco),35,1 colher de sopa (20g)
372,Geleia Orgânica de Goiaba (Agreco),32,1 colher de sopa (20g)
373,Molho de Tomate Funghi Orgânico (Agreco),12,1 colher de sopa (20g)
374,Mel de Eucalipto (Agreco),90,1 colher de sopa (20ml)
375,Geléia de Morango Orgânica (Agreco),43,1 colher de sopa (20g)
376,Banana Passa (Agreco),52,1 banana (15g)
377,Geleia de Morango sem Açúcar (Agreco),11,1 colher de sopa (20g)
378,Tapioca (Bahiamido),45,1 colher de sopa  (20g)
379,Goma Hidratada (Bahiamido),180,1 porção (80g)
380,Doce de Leite (Avaré),151,4 unidades (40g)
381,Pingo de Leite (Avaré),151,3 unidades (40g)
382,Balas de Limão com Colageno (Beauty Candy),41,10 balas (20g)
383,Biscoito de Polvilho Salgado (Chiang),145,12 unidades (30g)
384,Ovitos (Chiang),153,1/2 xícara (30g)
385,Amendoim Crocante Original (Chiang),126,1 porção (20g)
386,Chocolate Amargo 70% (Chocolate da Ilha),124,1 barrinha (25g)
387,Chocolate Amargo 85% (Chocolate da Ilha),100,1 barrinha (25g)
388,Chocolate Diet (Chocolate da Ilha),101,1 porçao (25g)
389,Whey-HD (BPI Sports),126,1 scoop (39g)
390,Whey HD (BPI Sports),151,1 porção (37g)
391,Massa Pronta para Tapioca (Don Lampione),44,1 colher de sopa cheia (20g)
392,Esfiha de Queijo (Dozza),63,1 unidade (50g)
393,Esfiha de Carne (Dozza),69,1 unidade (50g)
394,Esfiha de Espinafre (Dozza),47,1 unidade (50g)
395,Esfiha De Queijo Com Basterma (Dozza),68,1 serving (50g)
396,Kibe (Dozza),88,1 porção (35g)
397,Petit Fruit (Do Pomar),69,100g
398,Leite Desnatado (Cooper Rita),67,1 copo (200ml)
399,Leite Integral (Cooper Rita),114,1 copo (200ml)
400,Requeijão Light (Cooper Rita),60,1 porção (30g)
401,Ricota Fresca (Cooper Rita),52,1 porção (30g)
402,Leite Semidesnatado (Cooper Rita),80,1 copo (200ml)
403,Manteiga com Sal (Cooper Rita),99,1 colher sobremesa (14g)
404,Requeijão Cremoso (Cooper Rita),80,1 colher de sopa (30g)
405,Queijo Minas Padrão (Cooper Rita),90,1 fatia (30g)
406,Queijo Minas Frescal (Cooper Rita),67,1 porção (30g)
407,Iogurte de Morango (Cooper Rita),158,1 copo (200g)
408,Doce de Leite (Cooper Rita),62,1 porção
409,Catchup Picante (Etti),15,1 colher de sopa (12g)
410,Mostarda (Etti),12,1 colher de sopa  (12g)
411,Extrato de Tomate (Etti),19,2 colheres de sopa (30g)
412,Whey Protein (Evolution Nutrition),116,1 dosador (30g)
413,Whey Protein Isolada Hidrolisada (Evolution Nutrition),228,2 dosadores (62g)
414,Whey Protein Chocodynho (Evolution Nutrition),116,1 dosador (30g)
415,Vegan Protein (Evolution Nutrition),109,1 scoop (30g)
416,Termo Coffee (Evolution Nutrition),39,1 scoop (10g)
417,Creatina (Evolution Nutrition),0,1 colher de chá (3g)
418,Whey Dark Intense (Evolution Nutrition),116,1 porção (30g)
419,Collagen More (Evolution Nutrition),36,1 scoop (11g)
420,Naked Protein (Evolution Nutrition),116,1 porção (30g)
421,Suco de Uva Integral (Hugo Pietro),112,1 copo (200ml)
422,Suco de Uva Tinto Integral - o Tradicional (Hugo Pietro),105,1 copo (200ml)
423,Filé de Peito de Frango (Friato),88,100g
424,Moela de Frango (Friato),65,100g
425,Mortadela (Friato),90,4 fatias  (40g)
426,Linguiça de Frango (Friato),132,1 gomo (50g)
427,Linguiça de Frango Apimentada (Friato),92,1 gomo (50g)
428,Frango a Passarinho (Friato),168,100g
429,Salsicha (Friato),131,1 porção (50g)
430,Linguiça de Frango Defumada (Friato),168,5 rodelas (50g)
431,Sobrecoxa (Friato),162,100g
432,Sorvete Creme com Passas (Frosty),94,1 bola (60g)
433,Sorvete Leitinho Trufado (Frosty),129,1 porção (60g)
434,Sorvete Leitinho com Açaí (Frosty),97,1 bola (60g)
435,Sorvete de Tapioca (Frosty),143,1 bola  (60g)
436,Abobrinha Grelhada (Gym Chef),27,100g
437,Purê de Batata (Gym Chef),76,100g
438,Bolo de Prestigio (Gym Chef),220,100g
439,Strogonoff Carne (Gym Chef),173,100g
440,Couve Flor (Gym Chef),27,100g
441,Hambúrguer de Lentilha (Gym Chef),127,100g
442,Bolo de Laranja Fit (Gym Chef),198,100g
443,Espinafre Refogado (Gym Chef),23,1 porção (120g)
444,Escarola Refogada (Gym Chef),27,1 porção (120g)
445,Esfirra Integral de Carne (Gym Chef),83,100g
446,Bolo Integral de Banana com Castanha (Gym Chef),200,100g
447,Abóbora (Gym Chef),48,100g
448,Nhoque de Abóbora com Pimenta (Gym Chef),404,1 porção (200g)
449,Esfirra de Escarola (Gym Chef),183,100g
450,Frango Ao Curry (Gym Chef),181,100g
451,Brócolis (Gym Chef),38,100g
452,Sopa Fit Detox Low Carb (Gym Chef),104,1 porção (400g)
453,Hambúrguer de Frango (Gym Chef),148,1 porção (110g)
454,Empada Integral de Frango (Gym Chef),235,100g
455,Molho Pomodoro (Gym Chef),47,100g
456,Pipoca Caramelizada (Frank),140,1 porção (25g)
457,Pipoca Doce (Frank),95,1 porção (25g)
458,Biscoito de Polvilho (Frank),127,1 porção (30g)
459,Bisnaguinha (Frank),58,1 porção (20g)
460,Macarrão Integral com Espinafre (Excelsa),232,1 prato (80g)
461,Macarrão Integral com Batata Doce (Excelsa),282,1 prato (80g)
462,Macarrão Integral com Beterraba (Excelsa),234,1 porção (80g)
