,Name,Calories,Type
643,Salgadinho Torrado de Arroz (Okaki),68,1/2 xícara (30g)
644,Ketchup (Oderich),15,1 colher de sopa (12g)
645,Milho Verde (Oderich),77,1 xícara de chá (130g)
646,Maionese (Oderich),27,1 colher de sopa (12g)
647,Almôndegas Bovina Ao Molho (Oderich),81,3 unidades (80g)
648,Mostarda (Oderich),0,1 colher de sopa (12g)
649,Ervilha e Milho (Oderich),85,1 xícara de chá (130g)
650,Feijoada (Oderich),135,1 xícara de chá (130g)
651,Maionese Light (Oderich),27,1 colher de sopa (12g)
652,Ervilha (Oderich),98,1 porção (130g)
653,Pêssego em Calda (Oderich),101,3 metades (140g)
654,Molho Barbecue (Oderich),11,1 colher de sopa (12g)
655,Salsicha Peritif (Oderich),70,4 unidades (50g)
656,Seleta de Legumes (Oderich),77,1 xícara de chá (130g)
657,Grão de Bico (Oderich),128,1 xícara (130g)
658,Pepinos em Vinagre (Oderich),0,1 unidade (15g)
659,Patê de Presunto (Oderich),18,colher de chá (10g)
660,Molho de Tomate (Oderich),32,3 colheres de sopa (60g)
661,Pêssego em Calda Zero Açúcar (Oderich),49,4 metades e 2 colheres de sopa de calda (140g)
662,Feijão Branco (Oderich),43,100g
663,Patê de Peru (Oderich),18,1 colher de sopa (10g)
664,Cream Cheese Original (Philadelphia),84,1 colher de sopa (30g)
665,Cream Cheese Light (Philadelphia),63,1 colher de sopa (30g)
666,Cream Cheese (Philadelphia),84,1 colher de sopa (30g)
667,Cream Cheese (Philadelphia),225,100g
668,Cream Cheese Zero Lactose (Philadelphia),207,porção (100g)
669,Mini Philadelphia (Philadelphia),80,2 unidades (30g)
670,Queijo Cremoso Zero Lactose (Philadelphia),207,100g
671,Cacau em Pó 100% (Qualicau),69,2 colheres de sopa (20g)
672,Chocolate em Pó 50% Cacau (Qualicau),67,2 colheres de sopa (20g)
673,Pepsi (Pepsi),60,1 copo (200ml)
674,Refrigerante (Pepsi),71,1 porção (237ml)
675,Pepsi Zero (Pepsi),0,1 lata (350ml)
676,Pepsi Twist (Pepsi),5,1 lata (350ml)
677,H2OH Limoneto (Pepsi),0,100ml
678,Pepsi Twist Zero (Pepsi),0,100ml
679,H2OH (Pepsi),0,1 copo (200ml)
680,Pepsi Light (Pepsi),0,1 copo (200ml)
681,Mountain Dew (Pepsi),98,1 copo (200ml)
682,H2OH (Pepsi),0,100ml
683,H2OH Laranja (Pepsi),0,1 copo (200ml)
684,Wild Cherry (Pepsi),160,1 lata (355ml)
685,Manteiga de Côco (QualiCôco),85,1 colher de sopa (10g)
686,Óleo de Côco Extra Virgem (QualiCôco),103,1 colher de sopa (13 ml) (13ml)
687,Manteiga de Côco com Sal (QualiCôco),85,1 colher de sopa (10g)
688,Farinha de Côco (QualiCôco),45,2 colheres de chá (12g)
689,Cacau Alcalino em Pó 100% (QualiCôco),69,2 colheres de sopa (20g)
690,Açúcar de Coco (QualiCôco),19,1 colher de chá (5g)
691,Leite de Côco em Pó (QualiCôco),128,2 colheres de sopa  (25g)
692,Néctar de Coco (QualiCôco),58,1 colher de sopa (20g)
693,Shoyu de Coco (QualiCôco),5,1 colher de chá (5ml)
694,Leite de Coco (QualiCôco),9,1 colher de sopa (15ml)
695,Azeite de Abacate Extra Virgem (QualiCôco),117,1 colher de sopa (13ml)
696,Manteiga de Côco Sabor Côco sem Sal (QualiCôco),88,1 colher de sopa (10g)
697,Coco Ralado sem Açúcar (QualiCôco),71,1 porção (12g)
698,Gordura de Côco (QualiCôco),90,1 colher de sopa (10g)
699,Chips de Coco (QualiCôco),82,2 colheres de chá (12g)
700,Chips de Coco Queimado (QualiCôco),68,2 colheres de chá (12g)
701,Leite de Coco em Pó (QualiCôco),121,2 colheres de sopa (25g)
702,Coco Ralado (QualiCôco),63,2 colheres de chá (12g)
703,Brain Octane Oil (QualiCôco),112,1 colher de sopa (13ml)
704,Filezinho Sassami (Rivelli),113,100g
705,Linguiça de Frango (Rivelli),93,100g
706,Coxinha da Asa (Rivelli),161,100g
707,Filé de Peito de Frango (Rivelli),119,100g
708,Coxa e Sobrecoxa sem Osso (Rivelli),293,100g
709,Linguiça de Frango Fina (Rivelli),122,1/2 unidade  (50g)
710,Moela (Rivelli),113,100g
711,Pão de Forma (Q-Pão),125,2 fatias (50g)
712,Bisnaguinha (Q-Pão),58,1 unidade (20g)
713,Pão de Milho (Q-Pão),152,2 fatias (50g)
714,Pão de Forma Integral (Q-Pão),101,2 fatias (50g)
715,Pão Integral (Q-Pão),101,2 fatias (50g)
716,Pão 9 Grãos Light (Q-Pão),81,2 fatias (50g)
717,Pão de Forma Light 12 Grãos (Q-Pão),144,2 fatias (50g)
718,Pão Integral Light (Q-Pão),95,2 fatias (50g)
719,Energético (Red Nose),68,1 copo (200ml)
720,Energético (Red Nose),4,100ml
721,BCAA Puro Ultra Concentrado (Red Nose),24,1 porção  (6g)
722,Skittles (Skittles),250,1 pacote (62g)
723,Wild Berry (Skittles),250,1 pacote (62g)
724,Ricota Fresca (Santa Clara),54,1 fatia (30g)
725,Nata (Santa Clara),68,1 1/2 colher de sopa (15g)
726,Requeijão Cremoso Light (Santa Clara),42,1 colher de sopa (30g)
727,Requeijão Cremoso (Santa Clara),84,1 colher de sopa (30g)
728,Leite UHT Integral (Santa Clara),110,1 copo (200ml)
729,Queijo Mussarela Fatiado (Santa Clara),103,1 1/2 fatias (30g)
730,Leite Desnatado (Santa Clara),31,100ml
731,Café com Leite (Santa Clara),82,2 colheres de sopa (20g)
732,Queijo Mussarela (Santa Clara),112,1 porção (30g)
733,Salaminho (Santa Clara),124,8 fatias (40g)
734,Ricota Fresca Light (Santa Clara),36,1 fatia (30g)
735,Queijo Minas Frescal (Santa Clara),127,2 colheres de sopa (50g)
736,Leite Desnatado (Santa Clara),62,1 copo (200ml)
737,Capuccino (Santa Clara),43,3 colheres de café (10g)
738,Copa Defumada (Santa Clara),128,4 fatias (40g)
739,Leite Semidesnatado (Santa Clara),38,100ml
740,Creme de Ricota (Santa Clara),49,1 colher de sopa (30g)
741,Leite Integral (Santa Clara),110,1 copo (200ml)
742,Leite Zero Lactose (Santa Clara),36,100ml
743,Queijo Minas Frescal Light (Santa Clara),105,2 colheres de sopa (50g)
744,Mini Pizza (Romanha),73,1 unidade (25g)
745,Capeleti de Frango (Romanha),243,100g
746,Pão de Alho com Queijo (Romanha),303,1 porção (75g)
747,Suspiro (Romanha),132,6 unidades (30g)
748,Massa para Pastel (Romanha),145,3 unidades (50g)
749,Nhoque de Batata (Romanha),150,100g
750,Canudos (Romanha),126,8 unidades  (40g)
751,Pierogi (Romanha),227,1 pierogi (50g)
752,Batata Palha (Romanha),150,1 1/2 xícaras (25g)
753,Talharim Espinafre (Romanha),283,1 prato (80g)
754,Massa Folhada (Romanha),94,1 porção (30g)
755,Massa para Pizza (Romanha),57,1 fatia (20g)
756,Salgadinho de Trigo Pimenta Mexicana (Romanha),135,1 porção (25g)
757,Rom Rap (Romanha),130,1 unidade (33g)
758,Massa para Tapioca (Romanha),46,1 colher de sopa cheia (20g)
759,Talharim 100% Integral (Romanha),344,100g
760,Pizza de Frango com Requeijão (Romanha),142,1 fatia  (50g)
761,Tapioca (Siamar),48,1 colher de sopa (20g)
762,Farofa Caseira Crocante (Siamar),157,2 1/2 colheres de sopa (35g)
763,Mix de Castanhas (Siamar),81,1 colher de sopa (15g)
764,Goji Berry Desidratada (Siamar),37,1 colher de sopa (20g)
765,Tapioca (Siamar),48,100g
766,Aveia em Flocos (Siamar),118,2 colheres de sopa (30g)
767,Chia (Siamar),97,2 colheres de sopa  (20g)
768,Proteína Texturizada de Soja (Siamar),176,1 porção (50g)
769,Farelo de Aveia (Siamar),108,2 colheres de sopa (30g)
770,Semente de Linhaça (Siamar),75,1 colher de sopa (15g)
771,Granola Tradicional (Siamar),153,1/2 xícara (40g)
772,Cacau em Pó (Siamar),65,2 colheres de sopa (20g)
773,Amendoim (Siamar),245,1/2 xícara (45g)
774,Farinha de Casca de Maracujá (Siamar),14,1 colher de sopa (15g)
775,Granola Zero Açúcar (Siamar),127,1 porção (40g)
776,Extrato de Soja (Siamar),130,2 colheres de sopa  (30g)
777,Farofa Pronta Tradicional (Siamar),152,1/2 xícara (50g)
778,Pasta de Amendoim Integral (Siamar),114,1 colher de sopa (20g)
779,Milho para Pipoca (Siamar),78,1 xícara de chá (25g)
780,Farofa Picante (Siamar),136,1 porção (35g)
781,Barra de Cereal Brigadeiro (Trio),77,1 barra (20g)
782,Barrinha (Trio),76,1 barrinha (20g)
783,Barra de Cereal Morango e Chocolate (Trio),80,1 barra (20g)
784,Barra de Cereal Coco com Chocolate (Trio),85,1 barra (20g)
785,"Barra de Cereal Banana, Aveia e Mel (Trio)",72,1 barra (20g)
786,Barra de Cereal Banana com Chocolate Zero (Trio),76,1 barra (20g)
787,Barra de Cereal Banana com Aveia e Mel Light (Trio),67,1 barra (20g)
788,"Barra de Cereal Castanha, Avelã e Chocolate (Trio)",84,1 porção (20g)
789,Pro30 Vit Chocolate (Trio),134,1 barra (33g)
790,Super Protein Choco Cream (Trio),174,1 barra (40g)
791,Barra de Proteína (33g) (Trio),134,1 barra (33g)
792,Barra de Cereal Castanha e Chocolate (Trio),78,1 barra (20g)
793,Barra de Cereal Zero (Trio),70,1 barra (20g)
794,Barra de Cereal Mousse de Chocolate (Trio),78,1 barra (20g)
795,Pro30 Vit Cookies & Cream (Trio),131,1 barra (33g)
796,Barra de Proteína (40g) (Trio),168,1 barra (40g)
797,Barra de Proteína Cookies & Cream (Trio),131,1 barra (33g)
798,Barra de Cereal Zero Morango e Chocolate (Trio),70,1 barra (20g)
799,Pro30 Vit (Trio),132,1 barra (33g)
800,Barra de Cereal Morango e Chantilly (Trio),89,1 barra (25g)
801,Iogurte Integral (Trevinho),116,1 copo (170g)
802,Iogurte Desnatado (Trevinho),61,1 copo (170g)
803,Leite Fermentado (Trevinho),54,1 copinho (80g)
804,Iogurte Tripla Atitude Frutas (Trevinho),28,100g
805,Iogurte Sabor Morango (Trevinho),168,1 porção (200ml)
806,Iogurte Tripla Atitude (Trevinho),21,100g
807,Danoninho (Trevinho),63,1 pote (45g)
808,Leite Fermentado (Trevinho),70,100ml
809,Requeijão Cremoso (Trevinho),76,1 colher de sopa  (30g)
810,Requeijão Light (Trevinho),58,1 porção (30g)
811,Iogurte Light (Trevinho),27,100g
812,Bebida Láctea UHT Sabor Morango (Trevinho),106,1 copo (200ml)
813,Achocolatado (Trevinho),132,1 copo (200ml)
814,Iogurte Natural Desnatado (Trevinho),62,1 pote (170g)
815,Iogurte Light Frutas (Trevinho),54,1 copo (200g)
816,Coalhada Integral (Trevinho),128,1 copo (200g)
817,Iogurte com Mel (Trevinho),174,100g
818,Coalhada Adoçada (Trevinho),108,1 unidade  (130g)
819,Iogurte Light (180g) (Trevinho),49,1 frasco (180g)
820,Iogurte Parcialmente Desnatado com Polpa de Fruta Coco (Trevinho),151,1 frasco (180g)
821,Salgadinho de Trigo Sabor Bacon (Torcida),116,1 xícara (25g)
822,Salgadinho de Queijo (Torcida),139,1 porção (25g)
823,Salgadinho de Trigo Sabor Churrasco (Torcida),126,1 xícara  (25g)
824,Salgadinho de Pimenta Mexicana (Torcida),129,1/4 pacote (25g)
825,Cebola (Torcida),139,1 xícara (25g)
826,Pimenta Mexicana (Torcida),233,1 embalagem  (45g)
827,Churrasco (Torcida),132,1 xícara (25g)
828,Pastel de Carne (Torcida),134,1 porção (25g)
829,Salgadinho Sabor Galeto (Torcida),131,1 xicara (25g)
830,Bacon (Torcida),115,1/2 xícara (25g)
831,Salgadinho de Trigo Sabor Pastel de Queijo (Torcida),130,1 porção (25g)
832,Costelinha com Limão (Torcida),137,1 porção (25g)
833,Calabresa (Torcida),119,1 xícara (25g)
834,Queijo (Torcida),139,1 xícara (25g)
835,Camarão com Pimenta (Torcida),133,1 xícara (25g)
836,Pizza (Torcida),130,1 xícara (25g)
837,Risoto de Queijo (Uncle Ben's),167,1 porção  (110g)
838,Risoto de Vegetais (Uncle Ben's),172,1 porção (110g)
839,Arroz Integral (Uncle Ben's),180,1/4 xícara (50g)
840,Risoto de Funghi (Uncle Ben's),183,1 porção (120g)
841,Arroz Integral Express (Uncle Ben's),158,1 porção (110g)
842,Arroz Parboilizado (Uncle Ben's),169,1/4 xícara (50g)
843,Doce de Leite (Viçosa),72,1 colher de sopa (20g)
844,Mussarela (Viçosa),90,1 fatia  (30g)
845,Iogurte (Viçosa),119,1 porção (120g)
846,Iogurte de Morango Light (Viçosa),55,1 copo (200g)
847,Manteiga (Viçosa),76,1 colher sopa  (10g)
848,Requeijão Cremoso (Viçosa),75,1 colher de sopa (30g)
849,Leite Integral (Viçosa),126,1 porção (200ml)
850,Iogurte Light Salada de Frutas (Viçosa),55,1 porção (200ml)
851,Iogurte Natural Desnatado (Viçosa),74,1 copo  (170g)
852,Leite Desnatado (Viçosa),68,1 copo (200ml)
853,Iogurte Natural Integral (Viçosa),120,1 unidade (170g)
854,Amêndoa Laminada (Uniagro),87,1 colh de sopa (15g)
855,Damasco Seco (Uniagro),119,8 unidades (50g)
856,Tomate Seco (Uniagro),80,3 colheres de sopa (20g)
857,Castanha do Pará (Uniagro),106,1 colher de sopa (15g)
858,Nozes sem Casca (Uniagro),97,1 colher de sopa (15g)
859,Nozes (Uniagro),98,1 colher de sopa (15g)
860,Funghi Secchi (Uniagro),45,3 colheres de sopa (15g)
861,Passata de Tomate (Uniagro),27,3 colheres de sopa (50g)
862,Passa de Uva Preta (Uniagro),90,2 colheres de sopa (30g)
863,Azeite de Oliva Extra Virgem (Uniagro),105,1 colher de sopa (13ml)
864,Azeitona sem Caroço em Conserva (Uniagro),32,10 unidades (20g)
865,Castanha de Caju Torrada e Salgada (Uniagro),86,1 colher de sopa (15g)
866,Mix Aperitivo (Uniagro),90,1 colher de sopa (15g)
867,Hot Mix (Uniagro),78,1 porção (15g)
868,Mix Coquetel (Uniagro),61,1 colher de sopa (15g)
869,Ameixa Seca sem Caroço (Uniagro),96,1 sachê (40g)
870,Cogumelo Fatiado em Conserva (Uniagro),14,10 unidades (50g)
871,Amêndoa Torrada e Salgada (Uniagro),91,1 colher de sopa (15g)
872,Amendoim (Uniagro),86,1 colher de sopa (15g)
873,Azeitona com Pimentão (Uniagro),32,4 unidades (20g)
874,Creatina (Universal),0,1 colher de chá (5g)
875,Ultra Whey Protein (Universal),120,1 scoop (30g)
876,Ultra Iso Whey (Universal),88,1 scoop (25g)
877,Carbo Plus (Universal),68,1 scoop (18g)
878,Caseina (Universal),117,1 porção (33g)
879,Animal Pak (Universal),48,1 porção (20g)
880,Real Gains (Universal),610,1 porção (155g)
881,Albumina Capuccino (Xlab),123,1 scoop (30g)
882,Albumina Chocolate com Leite Condensado (Xlab),123,1 medidor  (30g)
883,Whey Protein (Xlab),156,3 colheres de sopa (36g)
884,Princesa Sortido de Bolachas (Vieira de Castro),152,4 unidades (30g)
885,100% Hyper Whey (XTR),113,1 dosador (30g)
886,Whey Protein (XTR),113,1 dosador (30g)
887,Granola (Vitalícia),189,3 colheres de sopa (50g)
888,Flocos de Aveia Fino (Vitalícia),145,3 colheres de sopa (40g)
889,Granola Light (Vitalícia),134,3 colheres de sopa (50g)
890,Fibra de Maracujá (Vitalícia),29,1 porção (10g)
891,Biscoito de Proteína Sabor Cookies (Wheyviv),132,1 porção (45g)
892,Suspiros com Whey Protein (Wheyviv),66,1 pacote (25g)
893,Biscoito Fit Chocolate (Wheyviv),135,1 pacote  (45g)
894,Biscoito de Coco (Wheyviv),137,1 porção (45g)
895,Banana com Whey Protein (Wheyviv),136,1 pacote (8 unidades) (45g)
896,Biscoito Fit de Coco (Wheyviv),120,1 porção (40g)
897,Biscoito Fit Amendoim com Whey Protein (Wheyviv),121,8 unidades (40g)
898,Biscoito de Gergelim (Wheyviv),151,1 porção (45g)
899,Biscoito de Proteína Sabor Amendoim (Wheyviv),142,1 porção (45g)
900,Chocolate com Whey Protein (Wheyviv),135,1 porção (40g)
901,Suspiros (Wheyviv),64,1 porção (20g)
902,Biscoito Fit Gergelim (Wheyviv),124,1 porção (40g)
903,Mix Frut - Mix de Frutas Desidratadas (Wheyviv),31,1 porção (45g)
904,Biscoito de Proteína Sabor Gergelim (Wheyviv),151,1 porção (45g)
905,Mixcast (Wheyviv),285,1 porção  (45g)
906,Mixfrut (Wheyviv),31,1 porção (45g)
907,Farinha de Milho Flocada (Xodomilho),180,1/2 xicara (50g)
908,Cuscuz (Xodomilho),180,1/2 xícara (50g)
909,Semente de Girassol (WS Naturais),61,1 colher de sopa (10g)
910,Granola Zero Açúcar (WS Naturais),129,1/2 xícara de chá (40g)
911,Granola Tradicional (WS Naturais),167,1/2 xícara de chá (40g)
912,Granola Caseira 100% Natural (WS Naturais),150,100g
913,Granola Premium (WS Naturais),159,1/2 xicara de chá (40g)
914,Granola (WS Naturais),167,1/2 xícara de chá (40g)
915,Granola sem Glúten (WS Naturais),149,1/2 copo (40g)
916,Granola com Coco (WS Naturais),159,1/2 xícara de chá (40g)
917,Proteína Texturizada de Soja Média Clara e Granulada (WS Naturais),150,1 porção (50g)
918,Coco Crocante (WS Naturais),63,1 colher sopa (11g)
919,Aveia em Flocos Finos (WS Naturais),90,2 colheres de sopa (30g)
920,Mix de Amêndoas com Frutas (WS Naturais),88,1 colhe de sopa (15g)
921,Açúcar Mascavo (WS Naturais),18,1 colher de chá (5g)
922,Farinha de Aveia (WS Naturais),170,1/2 xícara de chá (50g)
923,Castanha do Pará (WS Naturais),99,1 colher de sopa (15g)
924,Farinha de Linhaça Marrom Integral (WS Naturais),75,1 colher de sopa (15g)
925,Fibra de Trigo (WS Naturais),20,1 porção (10g)
926,Gergelim Descascado Branco (WS Naturais),100,1 colher de sopa (15g)
927,Farinha de Linhaça Dourada (WS Naturais),76,1 porção (15g)
928,Pão de Mel e Chá Verde (Woman Care),88,1 barra (25g)
929,Iogurte Whey Shake-Pro (Yofruta),136,1 porção (300g)
930,Iogurte de Morango (Yofruta),138,1 copo (200g)
931,Cranberry Iced Tea (Applebee's),80,1 porção (600ml)
932,Baby Back Ribs (Applebee's),270,3 ribs
933,Mozzarella Sticks (Applebee's),930,1 porção
934,Cowboy Burger (Applebee's),1180,1 lanche
935,Garlic Mashed Potatoes (Applebee's),250,1 porção
936,Signature Sirloin With Garlic Herb Shrimp (Applebee's),500,1 porção
937,Sizzling Apple Pie (Applebee's),930,1 porção
938,Oriental Salad Frango (Applebee's),1390,1 porção
939,Frozen Vanilla (Yogoothies),86,1 unidade pequena (110g)
940,Chocolate Gold (Yogoothies),26,1 porção (10g)
941,Manteiga Ghee (Yamuna),48,1 colher de sobremesa (6g)
942,Salada Oriental (América),271,1 porção (371g)
943,Spring Salad (América),577,1 porção (420g)
944,Salmão Mediterrâneo (América),427,1 prato (370g)
945,Biscoito Folhado (Zezé),132,4 unidades (30g)
946,Bolachão (Zezé),117,2 1/2 unidades (30g)
947,Biscoito Folhado Doce (Zezé),135,8 biscoitos (30g)
948,Folhado Doce (Zezé),135,8 biscoitos (30g)
949,Biscoito Mignon (Zezé),141,46 biscoitos (30g)
950,Palito de Chocolate (Zezé),116,9 biscoitos (30g)
951,Mignon (Zezé),141,44 biscoitos (30g)
952,Bolo de Mel Biscoito Doce (Zezé),111,4 unidades (30g)
953,Biscoito Salgado (Zezé),130,4 unidades (30g)
954,Cookies Integrais Banana e Aveia (Zezé),91,4 biscoitos (30g)
955,Biscoito Água e Sal (Zezé),121,13 unidades (30g)
956,Fura Bolo (Zezé),119,1 porção (30g)
957,Pão de Mel (Zezé),140,1 1/2 unidades (30g)
958,Biscoito Luna (Zezé),130,4 unidades (30g)
959,Mignon Integral (Zezé),130,1 porção (30g)
960,Rosquinha de Chocolate (Zezé),131,6 rosquinhas (30g)
961,Mini Ditos (Zezé),118,8 unidades (30g)
962,Cookies Integrais Castanha do Pará (Zezé),129,6 biscoitos (30g)
963,Cookies Integrais Frutas Citricas (Zezé),91,6 unidades (30g)
964,Batata Palha (Zezé),148,1/2 xícara de chá (25g)
965,Pão de Alho Tradicional (Zinho),215,1 pão (60g)
966,Pão Recheado com Linguiça e Queijo (Zinho),84,1 unidade (25g)
967,Pão de Alho Tradicional com Queijo tipo Bolinha (Zinho),89,1 unidade (25g)
968,Pão de Alho (25g) (Zinho),89,1 unidade (25g)
969,Pão de Alho Picante com Queijo (Zinho),214,1 unidade (60g)
970,Pão de Alho com Catupiry (Zinho),82,1 unidade (25g)
971,Pão de Alho (60f) (Zinho),215,1 unidade (60g)
972,Pão Bolinha Requeijão (Zinho),95,1 unidade (25g)
973,Pão de Alho Picante com Queijo (Zinho),87,25g
974,Biscoito Amanteigado com Goiabada (Zagonel),162,3 unidades (30g)
975,Biscoito Amanteigado Nata e Uva (Zagonel),122,3 biscoitos (30g)
976,Biscoito Amanteigado (Zagonel),192,4 biscoitos (32g)
977,Biscoito de Amendoim (Zagonel),140,5 biscoitos (30g)
978,Merengue (Zagonel),91,10 unidades (30g)
979,Bolachão de Mel com Chocolate (Zagonel),136,1 unidade (30g)
980,Flocos de Arroz (Zagonel),34,1 barra (10g)
981,Biscoito Broa de Fécula (Zagonel),120,6 unidades (30g)
982,Batata Palha (Zagonel),137,1 porção (25g)
983,Picanha Salada Burguer (Big X Picanha),439,1 unidade (300g)
984,Big X Camarão Ao Catupiry (Big X Picanha),239,1 unidade
985,Kibe Assado (Almanara),172,100g
986,Kibe Cru (Almanara),147,100g
987,Esfiha Fechada (Almanara),115,1 unidade
988,Couscous Marroquino (Almanara),183,100g
989,Esfiha Aberta (Almanara),111,1 unidade (15g)
990,Kafta (Almanara),116,100g
991,Pão Sírio (Almanara),80,1 unidade
992,Homus (Almanara),144,100g
993,Falafel (Almanara),152,100g
994,Coalhada Seca (Almanara),320,1 porção (100g)
995,Arroz Com Lentilha (Almanara),158,100g
996,Babaganuche (Almanara),83,100g
997,Kibe Frito (Almanara),251,100g
998,Abobrinha Recheada (Almanara),89,100g
999,Arroz Sírio (Almanara),153,100g
1000,Beirute de Rosbife (Almanara),195,100g
1001,Esfira Verdura (Almanara),105,1 unidade
1002,Fatouche (Almanara),162,100g
1003,Charutinho de Folha de Uva (Almanara),99,100g
1004,Charutinho de Repolho (Almanara),66,100g
1005,Biscoito de Polvilho (Casa do Alemão),40,6 unidades (10g)
1006,Biscoito Amanteigado Pérola (Casa do Alemão),57,2 unidades (10g)
1007,Salsichão Branco (Casa do Alemão),188,100g
1008,Canudinho de Chocolate (Casa do Alemão),481,100g
1009,Croissant (Casa do Alemão),171,1 unidade (40g)
1010,Bombom com Amendoim (Casa do Alemão),107,4 unidades (20g)
1011,Whopper (Burger King),677,1 porção (361g)
1012,Batata Frita (Média) (Burger King),318,1 porção (116g)
1013,Batata Frita (Pequena) (Burger King),203,1 porção (74g)
1014,Cheeseburger (Burger King),340,1 porção
1015,Cheese Burger Duplo Bacon (Burger King),522,1 porção (201g)
1016,Onion Rings (Burger King),319,1 porção (50g)
1017,BK Cheddar Duplo (Burger King),410,1 porção
1018,Rodeio Burguer (Burger King),398,1 porção (162g)
1019,BK Chicken Junior (Burger King),513,1 porção
1020,Big King (Burger King),806,1 sanduíche (312g)
1021,Batata Frita (Grande) (Burger King),390,1 porção (142g)
1022,Casquinha Recheada (Burger King),320,1 porção
1023,Chicken Duplo (Burger King),900,100g
1024,Whopper Furioso (Burger King),838,1 porção (386g)
1025,BK Shakes Especiais (Burger King),495,1 porção (500ml)
1026,Whopper Jr. (Burger King),369,1 porção
1027,Cheddar Burger (Burger King),321,1 sanduíche (136g)
1028,Milk Shake Doce de Leite (Burger King),490,1 copo (400ml)
1029,BK Batata Suprema (Burger King),368,1 porção (221g)
1030,Cheeseburger Duplo com Bacon (Burger King),1008,1 porção (342g)
1031,Hot Dog (Bullguer),537,1 porção
1032,Fritas Crinkle (Bullguer),457,1 porção (200g)
1033,Standard (Bullguer),459,1 lanche
1034,Stencil (Bullguer),593,1 lanche (480g)
1035,Lumberjack (Bullguer),648,1 lanche
1036,Cheese Please (Bullguer),650,1 sanduiche (300g)
1037,More Meat More Cheese (Bullguer),261,1 porção
1038,Uovo (Bullguer),736,1 unidade 
1039,Chicks (Bullguer),513,1 lanche (200g)
1040,Combeirute (Compão),382,1 sanduíche (300g)
1041,Comsaúde (Compão),282,1 sanduíche
1042,Comlight (Compão),314,1 sanduíche
1043,Yakisoba Clássico (China in Box),169,100g
1044,Frango Xadrez (China in Box),191,100g
1045,Yakimeshi (China in Box),134,100g
1046,Yakisoba de Carne Pequeno (China in Box),484,1 caixa (200g)
1047,Yakissoba de Vegetais Junior (China in Box),482,1 porção (300g)
1048,Rolinho Primavera (China in Box),79,1 unidade
1049,Rolinho Primavera de Queijo (China in Box),158,1 rolinho (30g)
1050,Banana Caramelada (China in Box),179,1 unidade (120g)
1051,Carne com Legumes (China in Box),463,1 porção (500g)
1052,Yakisoba Clássico Grande (China in Box),796,1 porção (500g)
1053,Camarão Empanado (China in Box),94,4 unidades
1054,Biscoito da Sorte Doce (China in Box),15,1 biscoito (5g)
1055,Rolinho de Queijo (China in Box),150,100g
1056,Yakisoba de Frango Júnior (China in Box),603,1 box
1057,Frango Agridoce Júnior (China in Box),452,1 porção (400g)
1058,Rolinho Romeu e Julieta (China in Box),192,1 unidade
1059,Yakisoba De Vegetais Júnior (China in Box),482,1 caixinha (500g)
1060,Pão Chinês (China in Box),103,3 unidade
1061,Carne Com Brócolis (China in Box),162,100g
1062,Yakisoba de Bifum Pequeno (China in Box),485,1 pequeno (300g)
1063,Sanduíche Natural de Frango (DNA Natural),313,1 sanduíche (179g)
1064,Sanduíche Natural de Atum (DNA Natural),292,1 sanduiche (150g)
1065,Pizza 4 Queijos Grande Massa Fina (Domino's Pizza),278,1 fatia (116g)
1066,Pizza Mussarela Massa Tradicional (Domino's Pizza),206,1 fatia (88g)
1067,Pizza Calabresa Média Massa Tradicional (Domino's Pizza),274,1 fatia (108g)
1068,Pizza Pepperoni Média Massa Tradicional (Domino's Pizza),232,1 fatia (98g)
1069,Pizza 3 Queijos Grande (Domino's Pizza),305,1 fatia (131g)
1070,Pizza Marguerita Média Tradicional (Domino's Pizza),203,1 fatia (124g)
1071,Pizza de Frango com Requeijão Grande Massa Tradicional (Domino's Pizza),321,1 fatia (153g)
1072,Pizza Toscana (Domino's Pizza),240,1 fatia
1073,Catuperoni (Domino's Pizza),349,1 fatia (143g)
1074,Pizza Banana Grande Massa Tradicional (Domino's Pizza),421,1 fatia (146g)
1075,Pizza Brotinho Frango com Requeijão (Domino's Pizza),168,1 fatia (85g)
1076,Pepperoni Grande Massa Tradicional (Domino's Pizza),312,1 fatia (133g)
1077,Frango Com Requeijão Média Massa Fina (Domino's Pizza),195,1 fatia (96g)
1078,Catuperoni Média Massa Fina (Domino's Pizza),222,1 fatia (89g)
1079,Chocolate Brotinho (Domino's Pizza),183,1 fatia (39g)
1080,Chocobread (Domino's Pizza),526,1 porção (245g)
1081,Frango com Requeijão Média Massa Tradicional (Domino's Pizza),235,1 fatia (113g)
1082,Catuperoni Grande Massa Fina (Domino's Pizza),303,1 fatia (124g)
1083,La Bianca Grande Massa Fina (Domino's Pizza),285,1 fatia (122g)
1084,La Bianca Média Massa Tradicional (Domino's Pizza),238,1 fatia média (101g)
1085,Grelhados Salmão (Desfrutti),292,1 porção (200g)
1086,Crepe de Frango (Desfrutti),440,2 crepe
1087,Salada de Salmão (Desfrutti),341,1 unidade
1088,Mix com Shitake (Desfrutti),78,1 porção (200g)
1089,Wrap Nutella com Morango e Sorvete (Desfrutti),629,1 wrap (300g)
1090,Suco Termogênico (Desfrutti),111,1 copo (360ml)
1091,Salada de Frango (Desfrutti),311,1 unidade
